Date,Train set size,Validation set size,Test set size,Normalization,Learning rate,Iteration time,Gradient,Train error rate,Train Ave_err,Validation Ave_err,Testing Ave_err
20/10/25 23:28:44,4521,1131,240,Z-Score,1e-06,10000,Vanilla,24.47%,5.030357434896325,5.370525535578645,4.943588417920273
20/10/25 23:33:52,5652,0,240,Z-Score,1e-06,1000,Vanilla,25.15%,5.158543826472926,0,5.056248666293038
20/10/26 11:22:14,5652,0,240,Z-Score,1e-06,10000,Vanilla,24.72%,5.071053061491933,0,4.937380259538449
20/10/26 12:04:21,4521,1131,240,Z-Score,1,10000,AdaGrad,24.45%,5.025750349268312,5.385438716739868,4.932417524022183
20/10/26 14:42:23,4521,1131,1446,Z-Score,1,100000,AdaGrad,24.45%,5.024730536584158,5.399042681660562,5.076918472277626
20/10/26 19:18:25,4521,1131,1446,Z-Score,0.0001,180840,SGD,23.11%,4.915544269299468,5.78951445489915,5.296950322022727
20/10/26 20:20:19,5652,0,1446,Z-Score,0.0001,169560,SGD,24.69%,5.121403277253309,0,5.155372443611327
20/10/26 20:22:22,5652,0,1446,Z-Score,0.0001,169560,SGD,23.86%,4.982327271401401,0,5.211151585174481
20/10/26 20:34:39,4521,1131,1446,Z-Score,1,180840,SGD + AdaGrad,22.2%,5.091625976389664,5.479804863923144,5.2820357805133105
20/10/26 20:36:02,4521,1131,1446,Z-Score,1,180840,SGD + AdaGrad,21.76%,4.991887401760182,5.684368124804209,5.223184562602109
20/10/26 21:38:14,4521,1131,1446,Z-Score,1e-05,10000,Momentum GD,21.91%,5.02473053535964,5.399044405798475,5.076918535001839
20/10/26 22:02:35,4521,1131,1446,Z-Score,0.01,100000,RMSProp,21.93%,5.030581316172957,5.394430208424171,5.072426161069902
20/10/26 23:26:30,4521,1131,1446,Z-Score,0.01,150000,Adam,21.91%,5.0247329427611,5.398716125870441,5.0769387937351125
20/10/26 23:31:27,4521,1131,1446,Z-Score,0.01,150000,RMSProp,21.93%,5.030501568937181,5.394766717562689,5.072478047957959
20/10/26 23:34:54,4521,1131,1446,Z-Score,1,150000,AdaGrad,21.91%,5.024730501792419,5.399113910939309,5.076960880247862
20/10/26 23:38:02,4521,1131,1446,Z-Score,1e-05,150000,Momentum,21.91%,5.024730501645405,5.399118013260031,5.076963874380739
20/10/26 23:41:22,4521,1131,1446,Z-Score,1e-06,150000,Vanilla,21.91%,5.025295874355929,5.388808869459396,5.072614242280498
20/10/27 00:11:06,4521,1131,1446,Z-Score,1,150001,SGD+AdaGrad,21.31%,4.887967913397161,5.584475515168034,5.334396906374346
20/10/27 00:14:30,4521,1131,1446,Z-Score,1,150001,SGD+AdaGrad,21.93%,5.030942377503706,5.496584154115977,5.3176741899160165
20/10/27 00:19:00,4521,1131,1446,Z-Score,0.1,150000,SGD+AdaGrad,23.2%,5.320381235532366,5.703159424288207,5.4210848776149385
20/10/27 00:20:33,4521,1131,1446,Z-Score,0.1,150000,SGD+AdaGrad,23.11%,5.300912666065207,5.680238627991996,5.343751118920168
20/10/27 00:22:59,4521,1131,1446,Z-Score,0.0001,150000,SGD,22.35%,5.126458548350534,5.671584076230316,5.393511455826099
20/10/27 00:24:36,4521,1131,1446,Z-Score,0.0001,150000,SGD,21.84%,5.0087858796941305,5.6248781091765165,5.3275546882986236
