Date,Model,Train set size,Validation set size,Test set size,Normalization,Learning rate,Iteration time,Gradient,Train error rate,Train Ave_err,Validation Ave_err,Testing Ave_err
20/10/27 17:22:27,Square,4521,1131,1446,Z-Score,1e-07,150000,SGDM,33.84%,7.762739079577979,7.935280655077984,8.183409590688322
20/10/27 17:34:26,Square,4521,1131,1446,Z-Score,1e-07,150000,SGDM,32.91%,7.548805270940137,8.142571526942529,8.266585883203707
20/10/27 19:45:13,Square,4521,1131,1446,Z-Score,1e-07,150001,MBGD+Momentum,19.58%,4.490197769378929,5.973177307208717,5.64204350294317
20/10/27 20:01:53,Square,4521,1131,1446,Z-Score,1e-07,150001,MBGD+Momentum,19.55%,4.484383383015695,10.632192394945358,7.01054388935138
20/10/27 20:48:09,Square,4521,1131,1446,Z-Score,1e-07,150000,Vanilla,21.25%,4.873516785873162,5.411139023641064,5.270728751232893
20/10/27 21:34:44,Square-F12F13,4521,1131,1446,Z-Score,1,15000,AdaGrad,21.25%,4.873039836773344,5.414151678703642,5.270225797161084
20/10/27 21:39:44,Square,4521,1131,1446,Z-Score,1,15000,AdaGrad,21.24%,4.8714293304644,5.418152607483444,5.275282625572399
20/10/27 22:11:18,Square-F1213,4521,1131,1446,Z-Score,1,15000,AdaGrad,21.34%,4.894368707378021,5.397387722946387,5.25134929351667
20/10/27 22:23:28,Square-F12345F10F12F13,4521,1131,1446,Z-Score,1,15000,AdaGrad,21.88%,5.018905126837934,5.326515173078121,5.192237363419106
20/10/27 22:30:39,Square-F12345F10F12F13,4521,1131,1446,Z-Score,1e-07,15003,MBGD+Momentum,21.5%,4.932319527798575,5.5747253237031025,5.306023157955274
20/10/27 22:33:45,Square-F12345F10F12F13,4521,1131,1446,Z-Score,1e-07,15003,MBGD+Momentum,22.26%,5.10482208619177,5.520998780176158,5.368287590602372
20/10/27 23:37:31,Square-F12345F10F12F13,5652,0,1446,Z-Score,1,150000,AdaGrad,24.66%,5.059156045978248,0,5.2373058323457204
